player,ppg,apg,rpg,bpg,num_seasons,MVPs,Finals_MVP,Championships,ROTY,DPOTY,CPOY,NBA1st,NBA2nd,NBA3rd,DEF1st,DEF2nd,AllStarCount,hof
Grant Hill,16.702729045,4.1442495127,6.0126705653,0.5614035088,18,0,0.0,0.0,1,0,0,1,4,0,0,0,7,True
Greg Minor,6.8664259928,1.3862815884,2.6750902527,0.1660649819,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Howard Eisley,6.5089058524,3.4961832061,1.6844783715,0.1055979644,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Ivano Newbill,1.4776119403,0.3731343284,2.6417910448,0.2164179104,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jalen Rose,14.322860238,3.8212351029,3.4593716143,0.3412784399,13,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
James Blackwe,1.3846153846,0.8461538462,0.8461538462,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jamie Watson,3.1666666667,1.1470588235,1.4607843137,0.1666666667,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jason Kidd,12.601725377,8.6923076923,6.2724658519,0.3235082674,19,0,0.0,1.0,1,0,0,5,1,0,4,5,10,True
Jerome Harmon,4.6,1.2,2.3,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jim McIlvaine,2.6733167082,0.2618453865,3.0997506234,1.72319202,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Julius Nwosu,1.347826087,0.1304347826,1.0434782609,0.1304347826,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Juwan Howard,13.376655629,2.2044701987,6.1490066225,0.2582781457,19,0,0.0,2.0,0,0,0,0,0,1,0,0,1,False
Khalid Reeves,7.8231046931,3.1985559567,2.0938628159,0.1155234657,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Lamond Murray,11.258152174,1.3288043478,4.120923913,0.433423913,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Mark Strickla,4.5587188612,0.3629893238,2.743772242,0.3914590747,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Matt Fish,3.54,0.5,2.2,0.28,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Michael Smith,5.6280623608,1.4721603563,7.1113585746,0.5523385301,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Monty William,6.3245614035,1.1929824561,2.8421052632,0.3004385965,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Reggie Slater,5.5984555985,0.5598455598,2.9652509653,0.2162162162,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Ryan Lorthrid,7.3513513514,2.7297297297,1.9189189189,0.027027027,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
